mean  	sigma	
3.03899 1.52411
3.00602	1.5251
3.07512	1.54389
3.0773	1.55297
2.97562	1.56601
2.99153	1.51251
2.98622	1.53642
2.96377	1.55092
3.03642	1.57575
2.95624	1.54973
3.05536	1.49715
3.10007	1.56162
2.94012	1.5208
2.971	1.51062
2.986	1.53324
3.02844	1.53973
2.94211	1.5445
3.02155	1.48448
3.01981	1.49708
2.99813	1.47231
2.92306	1.51447
2.99558	1.56177
3.0277	1.57161
3.00092	1.47436
3.0222	1.51798
3.08354	1.50591
3.06653	1.48656
2.96973	1.57113
3.03719	1.58496
2.97695	1.46939
3.01818	1.55462
2.99568	1.49009
2.96083	1.50247
3.08995	1.53664
3.06004	1.49871
3.06425	1.57995
3.0876	1.56733
3.05348	1.5705
3.12862	1.57621
3.04733	1.55545
2.98913	1.49109
3.01582	1.45568
2.97018	1.54252
3.05858	1.46643
2.9511	1.56243
3.03563	1.59222
2.94572	1.55795
2.99618	1.57362
3.09335	1.51846
3.04543	1.51709
3.03372	1.50283
3.03959	1.47583
2.97941	1.5147
3.01514	1.52219
3.0428	1.5407
2.92348	1.52806
2.93273	1.52537
3.00415	1.45571
3.0236	1.46073
3.1031	1.50655
3.0646	1.52239
3.05584	1.52076
3.09123	1.54012
3.0674	1.50579
3.04823	1.49746
2.92807	1.52079
2.85373	1.53504
2.86603	1.55523
2.91374	1.46237
2.96667	1.44919
2.98512	1.53097
2.97213	1.49263
3.00372	1.52814
2.9981	1.55051
3.04696	1.56415
3.06674	1.54622
3.05911	1.55129
2.95829	1.55103
2.96345	1.49617
3.02324	1.55026
3.12386	1.4738
3.00965	1.54304
3.01649	1.47172
2.94406	1.57682
2.89143	1.5275
2.97888	1.48858
3.0784	1.55341
3.00783	1.56709
3.03296	1.52434
3.03506	1.49776
3.02194	1.55557
2.99323	1.58137
2.98613	1.62893
2.92392	1.54212
2.96699	1.59455
3.04975	1.4954
2.94678	1.52534
3.00719	1.50599
2.96577	1.49229
3.10981	1.56866
3.03411	1.54137
3.03872	1.49527
2.99363	1.55224
3.02058	1.51636
2.99212	1.51957
3.03703	1.49497
2.91376	1.50115
2.98533	1.54804
2.99682	1.53723
2.9932	1.53146
2.97424	1.5464
3.07823	1.55937
2.88942	1.49473
2.87144	1.56318
